ID,namesss,agesss,sexey,eductionall,inc1,inc2,employed,food security,consume meat
1.0,Person_1,,,None,1749,,No,Unknown,Yes
2.0,Person_2,25,,,-20,5000,Unknown,Insecure,Always
3.0,Person_3,40,Male,University,1749,1138,Yes,Insecure,Always
4.0,Person_4,,Male,Secondary,1749,5000,Yes,Secure,Always
5.0,Person_5,18,Female,College,1749,1138,Unknown,Secure,
6.0,Person_6,999,Male,None,1749,,No,Secure,No
7.0,Person_7,40,,College,1749,5000,No,Insecure,No
8.0,Person_8,40,,University,,1138,No,Secure,Always
9.0,Person_9,,Male,University,1749,,Yes,Insecure,No
10.0,Person_10,15,,None,1749,5000,Yes,Insecure,No
11.0,Person_11,18,,Secondary,-20,5000,Yes,Insecure,
12.0,Person_12,,Male,Primary,1749,1138,Yes,Secure,Yes
13.0,Person_13,18,Male,None,-20,1138,No,Secure,Always
14.0,Person_14,18,,Primary,,1138,Unknown,Insecure,Always
15.0,Person_15,999,,,1749,,Yes,Secure,
16.0,Person_16,40,,Primary,-20,1138,Yes,Secure,
17.0,Person_17,25,Female,Secondary,-20,5000,No,Secure,No
18.0,Person_18,999,Female,,,5000,Unknown,Insecure,Always
19.0,Person_19,999,Female,Primary,1749,1138,Unknown,Insecure,Yes
20.0,Person_20,18,Male,,1749,1138,No,Secure,
21.0,Person_21,70,???,Primary,-20,5000,No,Insecure,Yes
22.0,Person_22,40,Male,Secondary,,,Unknown,Secure,Yes
23.0,Person_23,15,Male,Primary,-20,1138,Yes,Secure,Always
24.0,Person_24,999,Female,Primary,1749,1138,Unknown,Secure,Always
25.0,Person_25,25,Female,Primary,-20,5000,No,Secure,
26.0,Person_26,70,Female,None,1749,1138,Yes,Insecure,Always
27.0,Person_27,70,,None,,,Yes,Insecure,
28.0,???,15,Female,None,1749,5000,No,Insecure,Always
29.0,Person_29,999,,Secondary,1749,1138,No,Secure,Yes
30.0,Person_30,25,Male,,,5000,No,Secure,
31.0,Person_31,40,,University,1749,1138,Unknown,Secure,No
32.0,Person_32,8,Female,Primary,,1138,Unknown,Insecure,Yes
33.0,Person_33,25,Male,Primary,1749,1138,Yes,Secure,Always
34.0,Person_34,15,Male,Secondary,-20,,No,Insecure,Yes
35.0,Person_35,70,Male,Primary,-20,,Yes,Insecure,Always
36.0,Person_36,40,,None,1749,5000,Yes,Insecure,Always
37.0,Person_37,25,Female,University,1749,1138,Yes,Insecure,Yes
38.0,Person_38,8,Male,College,1749,1138,Yes,Insecure,
39.0,Person_39,8,Male,Primary,-20,,No,Insecure,Always
40.0,Person_40,18,Male,None,1749,1138,Yes,Secure,
41.0,Person_41,18,,???,-20,,No,Secure,No
42.0,Person_42,,,University,,1138,No,Insecure,Always
43.0,Person_43,15,Female,College,-20,5000,Unknown,Insecure,
44.0,Person_44,999,,None,-20,1138,No,Secure,
45.0,Person_45,25,Male,,,1138,Unknown,Insecure,No
46.0,Person_46,25,Female,,-20,,No,Insecure,
47.0,Person_47,999,Male,College,1749,1138,No,Secure,
48.0,Person_48,,Male,Secondary,1749,1138,No,Insecure,No
49.0,Person_49,70,,College,-20,,Unknown,Insecure,Always
50.0,Person_50,70,Female,Primary,1749,5000,Unknown,,
51.0,Person_51,,,Primary,-20,5000,Yes,Secure,
