IDnumber,name,age,sex,eduction,incomes1,household income,Employ,foodsecurity,consmeat,eat bread,eat checkin
1.0,Person_1,22,Female,College,,20000,Yes,Secure,Yes,No,Always
2.0,Person_2,,Unknown,Primary,-30,,Yes,Insecure,No,Yes,Yes
3.0,Person_3,90,Male,University,279,3637,Yes,Secure,No,No,Yes
4.0,Person_4,,Male,None,-30,3637,Yes,Secure,Yes,,Always
5.0,Person_5,60,Female,College,-30,20000,No,Insecure,No,,No
6.0,Person_6,,Male,,279,,No,Insecure,No,Yes,No
7.0,Person_7,,Female,Primary,279,,Unknown,Insecure,No,No,Yes
8.0,Person_8,60,Male,None,,3637,Yes,Insecure,No,Yes,Yes
9.0,Person_9,22,Male,Secondary,,20000,Unknown,Insecure,No,No,Yes
10.0,Person_10,60,Male,Primary,-30,,No,Secure,No,No,Yes
11.0,Person_11,90,Female,None,279,20000,No,Insecure,Daily,No,Yes
12.0,Person_12,,Female,University,279,,No,Insecure,Yes,,Yes
13.0,Person_13,60,Unknown,Secondary,,???,Yes,Insecure,No,No,Yes
14.0,Person_14,,Female,University,-30,3637,Yes,Secure,Yes,,No
15.0,Person_15,90,Male,,-30,3637,No,Insecure,Daily,No,Yes
16.0,Person_16,15,Male,None,,3637,Unknown,Insecure,No,,Yes
17.0,Person_17,90,Female,University,279,,Unknown,Insecure,Yes,,No
18.0,Person_18,7,Female,,,20000,No,Secure,No,,No
19.0,Person_19,7,Female,None,,,Unknown,Insecure,No,Yes,Always
20.0,Person_20,7,Unknown,None,,3637,No,Insecure,No,No,Yes
21.0,Person_21,,Male,University,,3637,Unknown,Insecure,,Yes,Yes
22.0,Person_22,22,Unknown,None,279,20000,No,Secure,No,No,Yes
23.0,Person_23,22,Unknown,Primary,,3637,Unknown,Secure,No,No,Yes
24.0,Person_24,22,Male,None,279,3637,Yes,Secure,No,Yes,Always
25.0,Person_25,???,Male,College,,3637,No,Secure,Daily,,No
26.0,Person_26,90,Female,,-30,20000,No,Insecure,Daily,No,No
27.0,Person_27,22,Female,None,279,,Unknown,Insecure,No,,
28.0,Person_28,15,Unknown,College,-30,3637,No,Secure,No,Yes,Yes
29.0,Person_29,7,Female,None,,20000,No,Secure,Daily,,Yes
30.0,Person_30,90,Female,None,,3637,No,Insecure,Daily,No,Always
31.0,Person_31,7,Male,University,,20000,Yes,Insecure,Daily,No,Always
32.0,Person_32,22,Male,Primary,279,3637,Yes,Secure,No,No,No
33.0,Person_33,90,Female,,-30,20000,Unknown,Secure,Yes,Yes,Yes
34.0,Person_34,60,Male,Primary,279,3637,Yes,Secure,Yes,No,Yes
35.0,Person_35,15,Female,Secondary,279,,Unknown,Secure,Yes,Yes,Yes
36.0,Person_36,22,Male,University,,3637,Yes,Insecure,Yes,,Yes
37.0,Person_37,22,Male,University,-30,20000,Unknown,Secure,No,No,Always
38.0,Person_38,15,Male,Primary,,3637,Yes,Secure,Yes,No,No
39.0,Person_39,15,Male,University,279,,Yes,Insecure,Daily,No,No
40.0,Person_40,60,Female,Primary,,3637,Unknown,Insecure,Daily,,Always
41.0,Person_41,22,Unknown,University,-30,20000,No,Insecure,Yes,No,Yes
42.0,Person_42,,Male,None,,20000,No,Insecure,Daily,Yes,No
43.0,Person_43,22,Female,Primary,-30,,Yes,Insecure,No,,No
44.0,Unknown,7,Female,Primary,-30,20000,Unknown,Secure,Yes,,Always
45.0,Person_45,90,Male,College,,3637,No,Secure,Yes,,Yes
46.0,Person_46,90,Unknown,University,279,3637,Unknown,Secure,No,,No
47.0,Person_47,7,Male,University,,3637,No,Insecure,Daily,,Yes
48.0,Person_48,90,Female,Primary,279,20000,Unknown,Secure,No,Yes,No
49.0,Person_49,15,Unknown,None,279,3637,Yes,Insecure,No,,Always
50.0,Person_50,90,Female,None,,3637,Unknown,Secure,Daily,No,Yes
51.0,Person_51,90,Male,,279,3637,No,Secure,No,,Always
52.0,Person_52,7,Unknown,None,279,,Yes,Insecure,Daily,,No
53.0,Person_53,60,Female,University,,20000,Unknown,Insecure,Daily,,Always
54.0,Person_54,90,Female,College,,20000,No,Secure,No,,Always
55.0,Person_55,,Female,Primary,,20000,Yes,Secure,Daily,,Always
56.0,Person_56,90,Male,Secondary,279,,Unknown,Secure,No,Yes,No
57.0,Person_57,60,Unknown,College,-30,20000,No,Secure,Daily,Yes,Yes
58.0,Person_58,7,Male,Secondary,279,,Unknown,Secure,Yes,,Always
59.0,Person_59,60,Male,College,-30,,Unknown,Insecure,Daily,Yes,Yes
60.0,Person_60,7,Male,None,,20000,Yes,Insecure,Daily,No,No
61.0,Person_61,15,Unknown,University,-30,3637,Yes,Insecure,No,,Yes
,Person_62,7,Male,Secondary,,3637,No,Insecure,Daily,No,Always
63.0,Person_63,15,Male,College,,20000,Yes,Secure,Yes,No,Always
64.0,Person_64,15,Male,University,-30,20000,No,Secure,Yes,,Always
65.0,Person_65,7,Male,Secondary,,,Unknown,Insecure,Daily,No,Always
66.0,Person_66,,Female,Primary,-30,20000,Unknown,Secure,Daily,No,Always
67.0,Person_67,22,Male,College,,,No,Insecure,Yes,No,Always
68.0,Person_68,7,Female,Primary,279,20000,Unknown,Secure,No,,No
69.0,Person_69,90,Male,None,279,3637,Yes,Secure,Yes,,No
70.0,Person_70,,Unknown,Primary,,3637,Unknown,Secure,Yes,No,No
71.0,Person_71,,Female,Primary,,20000,Yes,Insecure,Daily,,Yes
9999.0,Person_72,90,Female,,-30,,No,Insecure,Daily,,Yes
73.0,Person_73,22,Female,College,279,3637,No,Insecure,Yes,Unknown,No
74.0,Person_74,,Female,None,-30,,Unknown,Insecure,No,,Yes
75.0,Person_75,15,Unknown,Primary,,20000,Unknown,Secure,Yes,Yes,Yes
76.0,Person_76,22,Male,University,,20000,Yes,Secure,Yes,,Always
77.0,Person_77,90,Female,Secondary,-30,3637,Yes,Secure,No,Yes,Always
78.0,Person_78,22,Unknown,Primary,,20000,Unknown,Secure,Yes,No,Yes
79.0,Person_79,7,Female,None,279,3637,Unknown,Insecure,Yes,,Yes
80.0,Person_80,22,Male,Primary,-30,,No,Secure,Daily,No,No
81.0,Person_81,15,Female,Secondary,279,3637,No,Secure,No,No,Yes
82.0,Person_82,7,Unknown,None,279,3637,No,Secure,Daily,No,Always
83.0,,60,Male,College,279,,Unknown,Insecure,Daily,No,Yes
84.0,Person_84,90,Unknown,None,-30,3637,Unknown,Insecure,No,No,No
85.0,Person_85,90,Male,College,,3637,Unknown,Insecure,No,,Always
86.0,Person_86,22,Male,None,279,20000,No,Secure,Yes,Yes,Always
87.0,Person_87,,Male,Secondary,279,,Unknown,Insecure,Daily,,Always
88.0,Person_88,7,Female,Secondary,279,3637,Yes,Secure,No,,Always
89.0,Person_89,60,Unknown,None,,,Unknown,Secure,Daily,,Yes
90.0,Person_90,7,Unknown,Primary,,,Unknown,Secure,Daily,,No
91.0,Person_91,90,Unknown,Secondary,-30,3637,Unknown,Insecure,No,Yes,Yes
92.0,Person_92,7,Male,College,,20000,Unknown,Insecure,Yes,,Yes
93.0,Person_93,60,Female,College,-30,,Unknown,Secure,Daily,No,Always
94.0,Person_94,,Male,University,-30,3637,Yes,Secure,No,,No
95.0,Person_95,22,Unknown,,-30,,Yes,Insecure,Yes,,Always
96.0,Person_96,15,Female,,-30,20000,Unknown,Insecure,Daily,Yes,Yes
97.0,Person_97,7,Female,,-30,20000,No,Insecure,No,Yes,Yes
98.0,Person_98,15,Female,College,279,20000,Unknown,Secure,Daily,No,Unknown
99.0,Person_99,90,Unknown,University,,Unknown,Unknown,Secure,No,,Yes
100.0,Person_100,22,Female,,279,3637,Unknown,Secure,No,,Yes
101.0,Person_101,22,Female,,-30,Unknown,No,Insecure,Daily,,Always
102.0,Person_102,7,Male,None,,3637,No,Insecure,Daily,No,Yes
103.0,Person_103,,Male,None,279,20000,No,Insecure,No,Yes,No
104.0,Person_104,22,Female,None,279,3637,Yes,Secure,Yes,No,Always
105.0,Person_105,7,Female,Primary,-30,20000,No,Secure,Daily,,No
106.0,Person_106,7,Male,,279,,Yes,Insecure,No,Yes,Yes
107.0,Person_107,15,Male,Primary,279,20000,Yes,Secure,No,Yes,Yes
108.0,Person_108,22,Male,University,279,20000,No,Insecure,Yes,No,Always
109.0,Person_109,7,Unknown,College,279,3637,No,Secure,Yes,Yes,Yes
110.0,Person_110,15,Unknown,,279,3637,No,Insecure,Yes,Yes,Always
111.0,Person_111,60,Male,College,-30,3637,Yes,Secure,Daily,,Always
112.0,Person_112,15,Female,None,-30,3637,Unknown,Secure,No,,???
113.0,Person_113,15,Male,,279,3637,No,Insecure,No,Yes,Always
9999.0,Person_114,7,Unknown,Secondary,-30,3637,No,Insecure,No,Yes,Always
115.0,Person_115,90,Female,Primary,-30,,No,Insecure,Yes,No,No
116.0,Person_116,90,Unknown,Primary,,20000,Yes,Insecure,No,No,Always
117.0,Person_117,,Female,,279,20000,Yes,Insecure,Daily,Yes,No
118.0,Person_118,90,Unknown,None,-30,20000,Unknown,Secure,Yes,,Yes
119.0,Person_119,15,Female,Primary,-30,,No,Insecure,Yes,Yes,Always
120.0,Person_120,,Female,None,279,20000,Yes,Insecure,Yes,Yes,Yes
121.0,Person_121,7,Female,University,,,Unknown,Insecure,Yes,,Always
122.0,Person_122,22,Female,College,279,,No,Secure,Daily,,No
123.0,Person_123,15,Unknown,Secondary,,,Yes,Insecure,No,No,No
124.0,Person_124,15,Unknown,College,279,20000,No,Insecure,Daily,No,No
125.0,Person_125,,Female,College,279,,No,Insecure,No,No,Yes
126.0,Person_126,7,Female,University,279,20000,Yes,Secure,Daily,No,Always
127.0,Person_127,60,Unknown,Primary,279,20000,Yes,Secure,Yes,,Yes
128.0,Person_128,15,Female,Secondary,,3637,Yes,Insecure,Yes,Yes,No
129.0,Person_129,60,Female,Primary,,3637,No,Secure,Daily,No,Yes
130.0,Person_130,60,Female,,-30,,No,Insecure,Daily,No,No
131.0,Person_131,90,Male,College,279,,Unknown,Secure,No,,Unknown
132.0,Unknown,7,Female,,,20000,No,Insecure,Daily,,No
133.0,Person_133,60,Male,None,,,Yes,Secure,Daily,Yes,Always
134.0,Person_134,7,Female,College,,,No,Insecure,No,Yes,Always
135.0,Person_135,90,Unknown,Primary,279,20000,Unknown,Insecure,No,,No
136.0,Person_136,7,Male,College,-30,,Unknown,Secure,No,No,Yes
137.0,Person_137,15,Male,None,,,Yes,Insecure,Daily,No,Yes
138.0,Person_138,60,Female,University,279,20000,Yes,Insecure,No,No,Always
139.0,Person_139,7,Female,,,20000,Unknown,Insecure,Yes,Yes,No
140.0,Person_140,22,Male,,,3637,Unknown,???,Yes,No,Yes
141.0,Person_141,7,Unknown,Primary,-30,20000,Unknown,Secure,Yes,No,No
142.0,Person_142,60,Unknown,College,,3637,Yes,Unknown,Daily,,Yes
143.0,Person_143,90,Female,Primary,,,Unknown,Secure,Yes,No,Always
144.0,Person_144,90,Unknown,University,279,20000,Unknown,Secure,Daily,,No
145.0,Person_145,60,Unknown,College,279,20000,Yes,Secure,Daily,No,No
146.0,Person_146,15,Female,College,-30,20000,No,Secure,Yes,Yes,Yes
147.0,Person_147,15,Unknown,Primary,279,,No,Insecure,No,No,Yes
148.0,Person_148,90,Female,Primary,279,3637,Unknown,Insecure,Daily,No,Yes
149.0,Person_149,90,Male,None,-30,,No,Secure,Yes,,No
150.0,Person_150,60,Female,University,,,No,Insecure,Daily,,Always
151.0,Person_151,15,Male,None,-30,20000,No,Secure,No,,Always
152.0,Person_152,90,Male,,279,3637,No,Insecure,No,No,Yes
153.0,Person_153,15,Unknown,College,-30,,Unknown,Insecure,Yes,No,Always
154.0,Person_154,90,Unknown,Primary,,20000,No,Insecure,Daily,Yes,Yes
155.0,Person_155,7,Unknown,College,-30,,No,Secure,Daily,No,Always
156.0,Person_156,22,Female,College,279,,Yes,Secure,Daily,Yes,No
157.0,Person_157,,Unknown,Secondary,279,20000,Unknown,Insecure,Daily,,Yes
158.0,Person_158,7,Male,,-30,20000,Yes,Secure,Yes,,Always
159.0,Person_159,,Unknown,Secondary,,3637,Yes,Secure,No,,No
160.0,Person_160,90,Unknown,College,-30,,Unknown,Unknown,Yes,Yes,Always
161.0,Person_161,22,Female,Primary,,20000,No,Secure,Daily,No,No
162.0,Person_162,22,Female,College,,20000,Yes,Insecure,Unknown,,No
163.0,Person_163,90,Male,,-30,3637,Unknown,Insecure,Unknown,No,Always
164.0,Person_164,90,Female,Secondary,,3637,No,Insecure,Daily,No,Always
165.0,Person_165,15,Unknown,Primary,279,20000,Unknown,Secure,Yes,,No
166.0,Person_166,90,Female,College,-30,3637,Yes,Insecure,Yes,Yes,No
167.0,Person_167,60,Male,University,,20000,No,Insecure,No,No,No
168.0,Person_168,90,Unknown,,279,,No,Secure,Yes,,Yes
169.0,Person_169,60,Male,,-30,3637,Unknown,Secure,Yes,No,No
170.0,Person_170,90,Female,University,279,,No,Secure,Yes,No,Yes
171.0,Person_171,15,Female,College,279,,Yes,Secure,Yes,No,No
172.0,Person_172,60,Male,,279,,Yes,Insecure,Daily,No,Yes
173.0,Person_173,7,Unknown,Primary,,20000,Yes,Secure,Yes,No,No
174.0,Person_174,60,Female,College,-30,,Unknown,Secure,No,Yes,No
175.0,Person_175,15,Female,College,-30,,No,Secure,No,Yes,No
176.0,Person_176,,Unknown,Secondary,,,No,Secure,Yes,,Always
177.0,Person_177,60,Female,,-30,20000,No,Insecure,No,Yes,Always
178.0,Person_178,90,Male,,279,,Yes,Secure,Yes,Yes,No
179.0,Person_179,90,Female,University,-30,,No,Insecure,No,Yes,Yes
180.0,Person_180,,Female,Secondary,,3637,Yes,Secure,No,No,Yes
181.0,Person_181,15,Unknown,Secondary,279,20000,Unknown,Insecure,Yes,No,No
182.0,Person_182,22,Male,,,,Yes,Insecure,Yes,,Always
